nom_commune,cog_commune,siren_commune,nom_prenom_maire,nuance_politique,famille_nuance
Bény,01038,210100384,BAVOUX Patrick,NC,Non classé
Béréziat,01040,210100400,THEVENON Jean-Jacques,NC,Non classé
Bettant,01041,210100418,VIGNOLLET Marie-Françoise,NC,Non classé
Bey,01042,210100426,GENTIL Michel,NC,Non classé
Beynost,01043,210100434,TERRIER Caroline,LDVD,Droite
Billiat,01044,210100442,BEAUQUIS Jean-Marc,NC,Non classé
Birieux,01045,210100459,BAILLET Cyril,NC,Non classé
Biziat,01046,210100467,AGATY Guillaume,NC,Non classé
Blyes,01047,210100475,MARTIN Daniel,LNC,Non classé
La Boisse,01049,210100491,RAPHANEL Gérard,LNC,Non classé
Boissey,01050,210100509,TIRREAU Andrée,NC,Non classé
Bolozon,01051,210100517,GIROD Etienne,NC,Non classé
Bouligneux,01052,210100525,COMTET Laurent,NC,Non classé
Bourg-En-Bresse,01053,210100533,DEBAT Jean-François,LUG,Gauche
Bourg-Saint-Christophe,01054,210100541,PERRET Bernard,LNC,Non classé
Boyeux-Saint-Jérôme,01056,210100566,CHAPEL Marie-Christine,NC,Non classé
Boz,01057,210100574,GIRAUD Alain,NC,Non classé
Brégnier-Cordon,01058,210100582,VERGAIN Thierry,NC,Non classé
Brénod,01060,210100608,RAVOT Etienne,NC,Non classé
Brens,01061,210100616,PATERMO Roger,LNC,Non classé
Bressolles,01062,210100624,RACCURT Andrée,NC,Non classé
Brion,01063,210100632,GUINET Sébastien,NC,Non classé
Briord,01064,210100640,BLANC Patrick,LNC,Non classé
Buellas,01065,210100657,CHANEL Michel,,
La Burbanche,01066,210100665,MARIÉ Patrick,NC,Non classé
Ceignes,01067,210100673,AUBOEUF Alain,NC,Non classé
Cerdon,01068,210100681,CHAVENT Marc,NC,Non classé
Certines,01069,210100699,TAVEL Denis,,
Cessy,01071,210100715,BOUVIER Christophe,LDVD,Droite
Ceyzériat,01072,210100723,FLOCHON Jean-Yves,LNC,Non classé
Ceyzérieu,01073,210100731,KELLER Myriam,LNC,Non classé
Chalamont,01074,210100749,CHARVIEUX Bruno,LNC,Non classé
Chaleins,01075,210100756,MOLINES Lucien,LNC,Non classé
Chaley,01076,210100764,PUIGMAL Ludovic,NC,Non classé
Challes-La-Montagne,01077,210100772,DELPLACE Isabelle,NC,Non classé
Challex,01078,210100780,HOFER FAVRE Aline,,
Champagne-En-Valromey,01079,210100798,JUILLET Claude,NC,Non classé
Champdor-Corcelles,01080,200056695,MARTINAND Stéphane,NC,Non classé
Champfromier,01081,210100814,VIALON Jacques,NC,Non classé
Chanay,01082,210100822,JEAMBENOIT Elisabeth,,
Chaneins,01083,210100830,FLAMAND Patrice,NC,Non classé
Chanoz-Châtenay,01084,210100848,MORANDAT Olivier,NC,Non classé
La Chapelle-Du-Châtelard,01085,210100855,RIMAUD Cyrille,NC,Non classé
Charix,01087,210100871,PALISSON Didier,NC,Non classé
Charnoz-Sur-Ain,01088,210100889,GUYADER Jean-Louis,NC,Non classé
Château-Gaillard,01089,210100897,BRUNET Joël,LNC,Non classé
Châtenay,01090,210100905,BERNARD Evelyne,NC,Non classé
Châtillon-La-Palud,01092,210100921,DUBOIS Gilles,LNC,Non classé
Châtillon-Sur-Chalaronne,01093,210100939,MATHIAS Patrick,LDVD,Droite
Chavannes-Sur-Reyssouze,01094,210100947,DOUARD Dominique,NC,Non classé
Nivigne Et Suran,01095,200062537,PRIN Bernard,NC,Non classé
Chaveyriat,01096,210100962,JACQUET Claude,,
Chazey-Bons,01098,200063121,LALLEMENT Philip,LNC,Non classé
Chazey-Sur-Ain,01099,210100996,ANDRÉ Claire,LNC,Non classé
Cheignieu-La-Balme,01100,210101002,BUET Marc,NC,Non classé
Chevillard,01101,210101010,BROCHARD Alain Daniel,NC,Non classé
Chevroux,01102,210101028,SAVOT Dominique,NC,Non classé
Chézery-Forens,01104,210101044,VUAILLAT Bernard,NC,Non classé
Civrieux,01105,210101051,PORRETTI Gérard,LNC,Non classé
Cize,01106,210101069,DESBOIS Luc,NC,Non classé
Cleyzieu,01107,210101077,PEYSSON Jean,NC,Non classé
Coligny,01108,210101085,RAFFIN Bruno,LNC,Non classé
Collonges,01109,210101093,PERREAL Lionel,LNC,Non classé
Colomieu,01110,210101101,IMBERT Régis,,
Conand,01111,210101119,GARIBIAN Françoise,NC,Non classé
Condamine,01112,210101127,VAILLOUD Damien,NC,Non classé
Condeissiat,01113,210101135,GAUTIER Stephen,NC,Non classé
Confort,01114,210101143,BRIQUE Daniel,NC,Non classé
Confrançon,01115,210101150,BUELLET Jean Paul,LNC,Non classé
Contrevoz,01116,210101168,BALASTRIER Jean-Daniel,NC,Non classé
Conzieu,01117,210101176,PEZANT Pascal,NC,Non classé
Corbonod,01118,210101184,CHAPEL Patrick,LNC,Non classé
Corlier,01121,210101218,DUPONT Jean-François,NC,Non classé
Cormoranche-Sur-Saône,01123,210101234,PALLOT Jacques,LNC,Non classé
Cormoz,01124,210101242,SCHWEITZER Nicolas,NC,Non classé
Corveissiat,01125,210101259,GINDRE Jonathan,NC,Non classé
Courmangoux,01127,210101275,MORNAY Mireille,NC,Non classé
Courtes,01128,210101283,PALLEGOIX Thierry,NC,Non classé
Crans,01129,210101291,MORTREUX Françoise,NC,Non classé
Bresse Vallons,01130,200086965,GRIGNOLA-BERNARD Virginie,LNC,Non classé
Cressin-Rochefort,01133,210101333,CHIFFE Frédéric,NC,Non classé
Crottet,01134,210101341,LHOTELAIS Jean-Philippe,LNC,Non classé
Crozet,01135,210101358,JOUANNET Martine,LNC,Non classé
Cruzilles-Lès-Mépillat,01136,210101366,BOYER Dominique,NC,Non classé
Culoz-Béon,01138,210101382,ANDRE-MASSE Franck,LNC,Non classé
Curciat-Dongalon,01139,210101390,FLEURY Didier,NC,Non classé
Curtafond,01140,210101408,LABALME Christian,NC,Non classé
Cuzieu,01141,210101416,CROSNIER Laurence,NC,Non classé
Dagneux,01142,210101424,PEGUET Jean-Christophe,,
Divonne-Les-Bains,01143,210101432,SCATTOLIN Vincent,LDVD,Droite
Dompierre-Sur-Veyle,01145,210101457,TABOURET Martine,LNC,Non classé
Dompierre-Sur-Chalaronne,01146,210101465,MUNERET Didier,NC,Non classé
Domsure,01147,210101473,VACLE Patrick,NC,Non classé
Dortan,01148,210101481,DUBARE Marianne,LNC,Non classé
Douvres,01149,210101499,LIMOUSIN Christian,LNC,Non classé
Drom,01150,210101507,GUILLOT Michel,NC,Non classé
Druillat,01151,210101515,EMIN Jean-Luc,LNC,Non classé
Echallon,01152,210101523,PERNOD Thierry,NC,Non classé
Echenevex,01153,210101531,PASSUELLO Isabelle,LNC,Non classé
Evosges,01155,210101556,GUILLET Christophe,NC,Non classé
Faramans,01156,210101564,BROCHIER Gérard,NC,Non classé
Fareins,01157,210101572,DUMOULIN Yves,LNC,Non classé
Farges,01158,210101580,GRAZIOTTI Monique,LNC,Non classé
Feillens,01159,210101598,BILLOUDET Guy,LNC,Non classé
Ferney-Voltaire,01160,210101606,RAPHOZ Daniel,LDVD,Droite
Flaxieu,01162,210101622,BAL Serge,NC,Non classé
Foissiat,01163,210101630,PICARD Jean-Luc,LNC,Non classé
Francheleins,01165,210101655,LUX Jean-Michel,LNC,Non classé
Frans,01166,210101663,NUGUET Michelle,LNC,Non classé
Garnerans,01167,210101671,VIOT Dominique,NC,Non classé
Genouilleux,01169,210101697,REIGNIER Alain,NC,Non classé
Beard-Géovreissiat,01170,210101705,COMTET Laurent,LNC,Non classé
Géovreisset,01171,210101713,MOREL Jeannine,NC,Non classé
Gex,01173,210101739,DUNAND Patrice,LDVD,Droite
Giron,01174,210101747,MOINE Florian,NC,Non classé
Gorrevod,01175,210101754,GUILLERMIN Henri,NC,Non classé
Grand-Corent,01177,210101770,RAQUIN Benjamin,NC,Non classé
Grièges,01179,210101796,GREMY Annick,LNC,Non classé
Grilly,01180,210101804,DUPENLOUP Christine,NC,Non classé
Groissiat,01181,210101812,DEGUERRY Patricia,LNC,Non classé
Guéreins,01183,210101838,CLEYET-MARREL Claude,LNC,Non classé
Hautecourt-Romanèche,01184,210101846,ROCHET Marc,NC,Non classé
Plateau D'Hauteville,01185,200086122,EMIN Philippe,LDVD,Droite
Haut Valromey,01187,200053676,ANCIAN Bernard,NC,Non classé
Illiat,01188,210101887,LABALME Richard,NC,Non classé
Injoux-Génissiat,01189,210101895,MOSSAZ Denis,,
Innimond,01190,210101903,GARDIEN Serge,NC,Non classé
Izenave,01191,210101911,DRUET Thiery,NC,Non classé
Izernore,01192,210101929,COMUZZI Sylvie,LNC,Non classé
Izieu,01193,210101937,MARTIN-BARBAZ Denis,NC,Non classé
Jassans-Riottier,01194,210101945,REVERCHON Jean-Pierre,LDVD,Droite
Jasseron,01195,210101952,GOBERT Sébastien,LNC,Non classé
Jayat,01196,210101960,MOREL Mickaël,LNC,Non classé
Journans,01197,210101978,TONNELLIER André,NC,Non classé
Joyeux,01198,210101986,MATHY Joël,NC,Non classé
Jujurieux,01199,210101994,BOLLACHE Anne,LNC,Non classé
Labalme,01200,210102000,MOLLIE Frédérique,NC,Non classé
Lagnieu,01202,210102026,MOINGEON André,LDVD,Droite
Laiz,01203,210102034,SCHAUVING Sébastien,LNC,Non classé
Le Poizat-Lalleyriat,01204,200053395,LENSEL Bernard,NC,Non classé
Lantenay,01206,210102067,BENOIT Jean-Louis,NC,Non classé
Lapeyrouse,01207,210102075,DUBOST Gilles,NC,Non classé
Lavours,01208,210102083,CASANOVAS Chantal,NC,Non classé
Léaz,01209,210102091,BLANC Christine,NC,Non classé
Lélex,01210,210102109,GROSSIORD Roger,NC,Non classé
Lent,01211,210102117,CRISTIN Yves,LNC,Non classé
Lescheroux,01212,210102125,NICOLIER Aimé,NC,Non classé
Leyment,01213,210102133,KLINGLER Lionel,,
Leyssard,01214,210102141,MOURLEVAT Michel,NC,Non classé
Surjoux-Lhopital,01215,200085306,MALFAIT Frédéric,NC,Non classé
Lhuis,01216,210102166,GINET Emmanuel,NC,Non classé
Lompnas,01219,210102190,JOUX Alexandre,NC,Non classé
Loyettes,01224,210102240,GAGNE Jean Pierre,LNC,Non classé
Lurcy,01225,210102257,BISIGNANO Nathalie,NC,Non classé
Magnieu,01227,200084978,GUITTET Thierry,NC,Non classé
Maillat,01228,210102281,DUCRET Jean Cyrille,NC,Non classé
Malafretaz,01229,210102299,LEROUX Gary,LNC,Non classé
Mantenay-Montlin,01230,210102307,LEMAIRE Michel,NC,Non classé
Manziat,01231,210102315,LARDET Denis,LNC,Non classé
Marboz,01232,210102323,MOIRAUD Christelle,LNC,Non classé
Marchamp,01233,210102331,MARCELLI Jean,NC,Non classé
Marignieu,01234,210102349,DEMANGE Pascal,NC,Non classé
Marlieux,01235,210102356,GRANDJEAN Jean-Paul,LNC,Non classé
Marsonnas,01236,210102364,ANTOINET Guy,NC,Non classé
Martignat,01237,210102372,ISSARTEL Julien,LNC,Non classé
Massieux,01238,210102380,NABETH Patrick,LNC,Non classé
Massignieu-De-Rives,01239,210102398,VINETTE Didier,NC,Non classé
Matafelon-Granges,01240,210102406,DUPARCHY Jean-Pierre,NC,Non classé
Meillonnas,01241,210102414,ARRAGON Jean-Pierre,LNC,Non classé
Mérignat,01242,210102422,POIZAT Alain,NC,Non classé
Messimy-Sur-Saône,01243,210102430,GELAS Vincent,,
Meximieux,01244,210102448,RAMEL Jean-Luc,LDVD,Droite
Bohas-Meyriat-Rignat,01245,210102455,DARMEDRU Emmanuel,NC,Non classé
Mézériat,01246,210102463,DUPUIT Guy,LNC,Non classé
Mijoux,01247,210102471,VIALLET Martine,NC,Non classé
Mionnay,01248,210102489,CORMORÈCHE Henri,,
Miribel,01249,210102497,GAITET Jean-Pierre,LDVD,Droite
Misérieux,01250,210102505,AUMONIER Gabriel,LNC,Non classé
Mogneneins,01252,210102521,CALAS Franck,NC,Non classé
Montagnat,01254,210102547,CHICHOUX Yvan,LNC,Non classé
Montagnieu,01255,210102554,ROSET Jean,NC,Non classé
Montanges,01257,210102570,MARQUET Christophe,NC,Non classé
Montceaux,01258,210102588,DESCHIZEAUX Jean Claude,LNC,Non classé
Montcet,01259,210102596,TARPIN Franck,NC,Non classé
Le Montellier,01260,210102604,MARTIN Patrice,NC,Non classé
Monthieux,01261,210102612,PAILLASSON Philippe,NC,Non classé
Montluel,01262,210102620,FABIANO Anne,,
Montmerle-Sur-Saône,01263,210102638,PROST Philippe,LDVD,Droite
Montracol,01264,210102646,LAFONT David,LNC,Non classé
Montréal-La-Cluse,01265,210102653,DUFOUR Patrick,LNC,Non classé
Montrevel-En-Bresse,01266,210102661,BREVET Jean-Yves,LNC,Non classé
Nurieux-Volognat,01267,210102679,BERGER Arlette,LNC,Non classé
Murs-Et-Gélignieux,01268,210102687,VALLIN Pierre,NC,Non classé
Nantua,01269,210102695,THOMASSET Jean-Pascal,LDVD,Droite
Neuville-Les-Dames,01272,210102729,CHALAYER Michel,LNC,Non classé
Neuville-Sur-Ain,01273,210102737,DUPUIS Thierry,LNC,Non classé
Les Neyrolles,01274,210102745,JUILLARD Lucien,NC,Non classé
Neyron,01275,210102752,FRANCOIS Christine,,
Niévroz,01276,210102760,BATTISTA Patrick,LNC,Non classé
Nivollet-Montgriffon,01277,210102778,SIMONNET Emmanuel,NC,Non classé
Oncieu,01279,210102794,JACQUEMIN Denis,NC,Non classé
Ordonnaz,01280,210102802,REYMOND-BABOLAT Laurent,NC,Non classé
Ornex,01281,210102810,GUICHARD Olivier,,
Outriaz,01282,210102828,MOREL Claude,NC,Non classé
Oyonnax,01283,210102836,PERRAUD Michel,LDVD,Droite
Ozan,01284,210102844,PESENTI Marie-Jeanne,,
Parcieux,01285,210102851,TISSERAND Nathalie,,
Parves Et Nattages,01286,200059913,COMET Claude,NC,Non classé
Péron,01288,210102885,BLANC Dominique,,
Péronnas,01289,210102893,CÉDILEAU Hélène,,
Pérouges,01290,210102901,MAGNON-MICOLAS Nathalie,,
Perrex,01291,210102919,VIGHETTI Jean-Jacques,NC,Non classé
Peyriat,01293,210102935,GUENRO Sylvain,NC,Non classé
Peyrieu,01294,210102943,BETTANT Maurice,NC,Non classé
Peyzieux-Sur-Saône,01295,210102950,THIVOLLE Monique,NC,Non classé
Pirajoux,01296,210102968,PIROUX Noël,NC,Non classé
Pizay,01297,210102976,GRIMAND Marc,NC,Non classé
Plagne,01298,210102984,DINOCHEAU Philippe,NC,Non classé
Le Plantay,01299,210102992,SARONI Patrick,NC,Non classé
Polliat,01301,210103016,BIENVENU Bernard,LNC,Non classé
Pollieu,01302,210103024,BRUN Jean-Philippe,NC,Non classé
Poncin,01303,210103032,GIROUX Jean-Michel,LNC,Non classé
Pont-D'Ain,01304,210103040,BOURDEAUDUCQ Vincent,,
Pont-De-Vaux,01305,210103057,PAUGET Yves,LNC,Non classé
Pont-De-Veyle,01306,210103065,MARQUOIS Michel,LNC,Non classé
Port,01307,210103073,DUTRAIT Gérard,NC,Non classé
Pougny,01308,210103081,MARCELOT Annie,NC,Non classé
Pouillat,01309,210103099,REVEL Jean-Pierre,NC,Non classé
Prémeyzel,01310,210103107,ROPELE Jean-Pierre,NC,Non classé
Prémillieu,01311,210103115,TORRION Pascal,NC,Non classé
Prévessin-Moëns,01313,210103131,CHARILLON Aurélie,LDVD,Droite
Priay,01314,210103149,CHARMETANT Fabienne,LNC,Non classé
Ramasse,01317,210103172,PASSAQUET Christian,NC,Non classé
Rancé,01318,210103180,BIHLER Fabien,NC,Non classé
Relevant,01319,210103198,CURNILLON Christiane,NC,Non classé
Replonges,01320,210103206,VERNOUX Bertrand,LDVD,Droite
Revonnas,01321,210103214,ROCHE Patrick,NC,Non classé
Reyrieux,01322,210103222,BONTEMPS-HESDIN Carole,LDIV,Courants politiques divers
Reyssouze,01323,210103230,PELUS Agnès,NC,Non classé
Rignieux-Le-Franc,01325,210103255,PAIN Pascal,NC,Non classé
Romans,01328,210103289,GAUTHIER Jean-Michel,NC,Non classé
Rossillon,01329,210103297,BOUVIER Georges,NC,Non classé
Ruffieu,01330,210103305,BROUSSART Pierre,NC,Non classé
Saint-Alban,01331,210103313,DE VECCHI Béatrice,NC,Non classé
Saint-André-De-Bâgé,01332,210103321,PLENARD Philippe,NC,Non classé
Saint-André-De-Corcy,01333,210103339,LOREAU Ludovic,LNC,Non classé
Saint-André-D'Huiriat,01334,210103347,DUBOST Michel,NC,Non classé
Saint-André-Le-Bouchoux,01335,210103354,JAYR Alain,NC,Non classé
Saint-André-Sur-Vieux-Jonc,01336,210103362,QUIVET Bernard,LNC,Non classé
Saint-Bénigne,01337,210103370,UNIA Emily,LNC,Non classé
Groslée-Saint-Benoît,01338,200060143,SOUDAN Henri,LNC,Non classé
Saint-Bernard,01339,210103396,REY Bernard,LNC,Non classé
Sainte-Croix,01342,210103420,LEVRAT Michel,NC,Non classé
Saint-Cyr-Sur-Menthon,01343,210103438,PARET Karine,,
Saint-Denis-Lès-Bourg,01344,210103446,FAUVET Guillaume,LDVG,Gauche
Saint-Denis-En-Bugey,01345,210103453,COLLIGNON Pascal,LNC,Non classé
Saint-Didier-D'Aussiat,01346,210103461,PICARD Catherine,NC,Non classé
Saint-Didier-De-Formans,01347,210103479,VALLOS Frédéric,LNC,Non classé
Saint-Didier-Sur-Chalaronne,01348,210103487,DUMAY Renaud,LNC,Non classé
Saint-Eloi,01349,210103495,CHAMPAULT Jehan-Benoît,NC,Non classé
Saint-Etienne-Du-Bois,01350,210103503,CHAPUIS Alain,LNC,Non classé
Saint-Etienne-Sur-Chalaronne,01351,210103511,FAUVAIN Gaétan,,
Saint-Etienne-Sur-Reyssouze,01352,210103529,MARGUIN Jean-Pierre,NC,Non classé
Sainte-Euphémie,01353,210103537,ALBAN Didier,LNC,Non classé
Saint-Genis-Pouilly,01354,210103545,BERTRAND Hubert,LDVG,Gauche
Saint-Genis-Sur-Menthon,01355,210103552,GREFFET Christophe,NC,Non classé
Saint-Georges-Sur-Renon,01356,210103560,PERI Sonia,NC,Non classé
Saint-Germain-De-Joux,01357,210103578,THOMASSET Gilles,NC,Non classé
Saint-Germain-Les-Paroisses,01358,210103586,CASTIN Régis,NC,Non classé
Saint-Germain-Sur-Renon,01359,210103594,MONIER Christophe,NC,Non classé
Saint-Jean-De-Gonville,01360,210103602,BRULHART Michel,LNC,Non classé
Saint-Jean-De-Niost,01361,210103610,DALMAZ Béatrice,LNC,Non classé
Saint-Jean-De-Thurigneux,01362,210103628,BERTHOMIEU Stéphane,NC,Non classé
Saint-Jean-Le-Vieux,01363,210103636,BATAILLY Christian,LNC,Non classé
Saint-Jean-Sur-Reyssouze,01364,210103644,SALLET Jacques,NC,Non classé
Saint-Jean-Sur-Veyle,01365,210103651,RENOUD-LYAT DUPERRAY Agnès,LNC,Non classé
Sainte-Julie,01366,210103669,CHAPPELLAZ Lionel,LNC,Non classé
Saint-Julien-Sur-Reyssouze,01367,210103677,LIGERON Nathalie,NC,Non classé
Saint-Julien-Sur-Veyle,01368,210103685,REVOL Serge,NC,Non classé
Saint-Just,01369,210103693,LEVET Patrick,NC,Non classé
Saint-Laurent-Sur-Saône,01370,210103701,DOUSSOT Jacques,LNC,Non classé
Saint-Marcel,01371,210103719,PETRONE Dominique,LNC,Non classé
Saint-Martin-De-Bavel,01372,210103727,VINCENT Xavier,NC,Non classé
Saint-Martin-Du-Frêne,01373,210103735,TURC Dominique,LNC,Non classé
Saint-Martin-Du-Mont,01374,210103743,DONGUY Brigitte,LNC,Non classé
Saint-Martin-Le-Châtel,01375,210103750,DUBOIS Sandrine,NC,Non classé
Saint-Maurice-De-Beynost,01376,210103768,GOUBET Pierre,LDVG,Gauche
Saint-Maurice-De-Gourdans,01378,210103784,VENET Fabrice,LNC,Non classé
Saint-Maurice-De-Rémens,01379,210103792,GAILLARD Eric,NC,Non classé
Saint-Nizier-Le-Bouchoux,01380,210103800,GUYON Valérie,NC,Non classé
Saint-Nizier-Le-Désert,01381,210103818,COURRIER Jean-Paul,NC,Non classé
Sainte-Olive,01382,210103826,PAUCHARD Thierry,NC,Non classé
Saint-Paul-De-Varax,01383,210103834,MANCINI Cédric,,
Saint-Rambert-En-Bugey,01384,210103842,BOUCHON Gilbert,LNC,Non classé
Saint-Rémy,01385,210103859,MALLET Christophe,NC,Non classé
Saint-Sorlin-En-Bugey,01386,210103867,MILLET Patrick,LNC,Non classé
Saint-Sulpice,01387,210103875,FOURNIER Clotilde,NC,Non classé
Saint-Trivier-De-Courtes,01388,210103883,BERNARD Yves,,
Saint-Trivier-Sur-Moignans,01389,210103891,LANIER Marcel,LNC,Non classé
Saint-Vulbas,01390,210103909,JACQUIN Marcel,LNC,Non classé
Salavre,01391,210103917,FÉAUD Jacques,NC,Non classé
Samognat,01392,210103925,ESCODA Annie,NC,Non classé
Sandrans,01393,210103933,TAPONAT Bernard,NC,Non classé
Sault-Brénaz,01396,210103966,ALONSO Nazarello,NC,Non classé
Sauverny,01397,210103974,HENNIQUAU Isabelle,LNC,Non classé
Savigneux,01398,210103982,GARNIER Gilles,LNC,Non classé
Ségny,01399,210103990,FOUILLOUX Jean-Pierre,LNC,Non classé
Seillonnaz,01400,210104006,OGERET Agnès,NC,Non classé
Sergy,01401,210104014,MOINE Catherine,,
Sermoyer,01402,210104022,PANCHOT Huguette,NC,Non classé
Serrières-De-Briord,01403,210104030,BEGUET Daniel,LNC,Non classé
Serrières-Sur-Ain,01404,210104048,BOULMÉ Jean-Michel,NC,Non classé
Servas,01405,210104055,GUERIN Serge,LNC,Non classé
Servignat,01406,210104063,VIALLON Laurent,NC,Non classé
Seyssel,01407,210104071,BOTTERI Michel,NC,Non classé
Simandre-Sur-Suran,01408,210104089,BAVOUX Marc,NC,Non classé
Sonthonnax-La-Montagne,01410,210104105,MONACI Fabrice,NC,Non classé
Souclin,01411,210104113,CASELLA Maud,NC,Non classé
Sulignat,01412,210104121,GENESTOUX Alain,NC,Non classé
Talissieu,01415,210104154,DEGUISNE Sabrina,NC,Non classé
Tenay,01416,210104162,ALLAIN Gaël,LNC,Non classé
Thil,01418,210104188,POMMAZ Valérie,LNC,Non classé
Thoiry,01419,210104196,BENIER Muriel,,
Thoissey,01420,210104204,TURREL Anne,LNC,Non classé
Torcieu,01421,210104212,BARBARIN Estelle,NC,Non classé
Tossiat,01422,210104220,DAVI Jean-Marie,LNC,Non classé
Toussieux,01423,210104238,CHAUMONT Armand,LNC,Non classé
Tramoyes,01424,210104246,DELOCHE Xavier,LNC,Non classé
La Tranclière,01425,210104253,ROUSSET Daniel,NC,Non classé
Val-Revermont,01426,200057347,WIEL Monique,LNC,Non classé
Trévoux,01427,210104279,PÉCHOUX Marc,LDVD,Droite
Valeins,01428,210104287,BARDON Frédéric,NC,Non classé
Vandeins,01429,210104295,BERARDAN Christelle,NC,Non classé
Varambon,01430,210104303,GABASIO Dominique,NC,Non classé
Vaux-En-Bugey,01431,210104311,VEYSSET RABILLOUD Françoise,,
Verjon,01432,210104329,JAMME Philippe,NC,Non classé
Vernoux,01433,210104337,RAVASSARD Philippe,NC,Non classé
Versailleux,01434,210104345,BRANCHY Gérard,NC,Non classé
Versonnex,01435,210104352,DUBOUT Jacques,LNC,Non classé
Vesancy,01436,210104360,MUGNIER Bernard,NC,Non classé
Vescours,01437,210104378,FLAMAND Isabelle,NC,Non classé
Vésines,01439,210104394,JULLIN Gilbert,NC,Non classé
Vieu-D'Izenave,01441,210104410,DELAGNEAU Dominique,NC,Non classé
Villars-Les-Dombes,01443,210104436,LARRIEU Pierre,LDVD,Droite
Villebois,01444,210104444,CHARMET Emilie,LNC,Non classé
Villemotier,01445,210104451,GUILLET Pierre,NC,Non classé
Villeneuve,01446,210104469,POMMIER David,LNC,Non classé
Villereversure,01447,210104477,GIRERD Jordan,LNC,Non classé
Villes,01448,210104485,SUSINI Guy,NC,Non classé
Villette-Sur-Ain,01449,210104493,HUMBERT Jean-Pierre,NC,Non classé
Villieu-Loyes-Mollon,01450,210104501,BEAUFORT Eric,LDVD,Droite
Viriat,01451,210104519,PERRET Bernard,LDVD,Droite
Virieu-Le-Grand,01452,210104527,VALLIN Yvette,,
Arviere-En-Valromey,01453,200086403,MEURIAU Annie,NC,Non classé
Virignin,01454,210104543,BAVUZ Stéphanie,,
Vongnes,01456,210104568,GUILLON Pascale,NC,Non classé
Vonnas,01457,210104576,GIVORD Alain,LNC,Non classé
Abbécourt,02001,210200010,PÂRIS René,NC,Non classé
Achery,02002,210200028,LEGARD Marc,NC,Non classé
Acy,02003,210200036,BOURGEOIS Guillaume,LNC,Non classé
Agnicourt-Et-Séchelles,02004,210200044,LETURQUE Patrice,NC,Non classé
Aguilcourt,02005,210200051,PREVOT Gérard,NC,Non classé
Aisonville-Et-Bernoville,02006,210200069,PARENT Christian,NC,Non classé
Aizelles,02007,210200077,MERLO Jean-Marie,NC,Non classé
Aizy-Jouy,02008,210200085,NECA Amadéo,NC,Non classé
Alaincourt,02009,210200093,ANTHONY Stéphan,NC,Non classé
Allemant,02010,210200101,HENNEVEUX Marc,NC,Non classé
Ambleny,02011,210200119,BOUVIER Jean-Marie,LNC,Non classé
Ambrief,02012,210200127,BERTIN Nicolas,NC,Non classé
Amifontaine,02013,210200135,SERIN Denis,NC,Non classé
Amigny-Rouy,02014,210200143,DUHENOY Joël,NC,Non classé
Ancienville,02015,210200150,DESBOVES Alain,NC,Non classé
